('sald1m4', {'Total Match': 8825, 'Recall': 0.8825, 'Search Time': 3.1428360000000075, 'Given n*k': 10000, 'Found n*k': 10000, 'unique neighbors': 10009, 'issue': False, 'Total Indexing Count': 14.263859})
('seismic1m1', {'Total Match': 18, 'Recall': 0.0018, 'Search Time': 0.01415, 'Given n*k': 10000, 'Found n*k': 24, 'unique neighbors': 24, 'issue': True, 'Total Indexing Count': 36.502793})
('sift1', {'Total Match': 327996, 'Recall': 0.327996, 'Search Time': 54.2123309999791, 'Given n*k': 1000000, 'Found n*k': 1000000, 'unique neighbors': 1000000, 'issue': False, 'Total Indexing Count': 20.240138})
('sift2', {'Total Match': 431129, 'Recall': 0.431129, 'Search Time': 107.94562499995676, 'Given n*k': 1000000, 'Found n*k': 1000000, 'unique neighbors': 1000000, 'issue': False, 'Total Indexing Count': 16.204753})
('siftsmall1', {'Total Match': 9897, 'Recall': 0.9897, 'Search Time': 0.2791089999999991, 'Given n*k': 10000, 'Found n*k': 10000, 'unique neighbors': 10000, 'issue': False, 'Total Indexing Count': 0.102825})
('space1V1', {'Total Match': 1380, 'Recall': 0.138, 'Search Time': 0.6636729999999996, 'Given n*k': 10000, 'Found n*k': 10000, 'unique neighbors': 10000, 'issue': False, 'Total Indexing Count': 15.60357})
('sun1', {'Total Match': 3233, 'Recall': 0.80825, 'Search Time': 2.9657610000000014, 'Given n*k': 4000, 'Found n*k': 4000, 'unique neighbors': 4000, 'issue': False, 'Total Indexing Count': 5.136279})
('text-to-image1', {'Total Match': 90, 'Recall': 0.009, 'Search Time': 0.036895000000000025, 'Given n*k': 10000, 'Found n*k': 2550, 'unique neighbors': 2573, 'issue': True, 'Total Indexing Count': 29.146462})
('tiny5m1', {'Total Match': 1477, 'Recall': 0.01477, 'Search Time': 1.359666999999993, 'Given n*k': 100000, 'Found n*k': 19844, 'unique neighbors': 19936, 'issue': True, 'Total Indexing Count': 134.530124})
('tiny5m2', {'Total Match': 2385, 'Recall': 0.02385, 'Search Time': 2.836567000000011, 'Given n*k': 100000, 'Found n*k': 22996, 'unique neighbors': 23098, 'issue': True, 'Total Indexing Count': 123.331996})
('tiny5m3', {'Total Match': 3286, 'Recall': 0.03286, 'Search Time': 6.083751000000039, 'Given n*k': 100000, 'Found n*k': 22996, 'unique neighbors': 23098, 'issue': True, 'Total Indexing Count': 122.942477})
