('audio6', {'Total Match': 3850, 'Recall': 0.9625, 'Search Time': 3.1724970000000026, 'Given n*k': 4000, 'Found n*k': 4000, 'unique neighbors': 4000, 'issue': False, 'Total Indexing Count': 0.731644})
('audio7', {'Total Match': 3850, 'Recall': 0.9625, 'Search Time': 3.2141650000000035, 'Given n*k': 4000, 'Found n*k': 4000, 'unique neighbors': 4000, 'issue': False, 'Total Indexing Count': 0.734061})
('audio8', {'Total Match': 3535, 'Recall': 0.88375, 'Search Time': 1.0954919999999995, 'Given n*k': 4000, 'Found n*k': 4000, 'unique neighbors': 4000, 'issue': False, 'Total Indexing Count': 1.226242})
('audio9', {'Total Match': 3290, 'Recall': 0.8225, 'Search Time': 0.730636, 'Given n*k': 4000, 'Found n*k': 4000, 'unique neighbors': 4000, 'issue': False, 'Total Indexing Count': 1.309089})
('bigann1', {'Total Match': 2944, 'Recall': 0.2944, 'Search Time': 0.4957749999999965, 'Given n*k': 10000, 'Found n*k': 10000, 'unique neighbors': 10000, 'issue': False, 'Total Indexing Count': 18.663987})
('bigann10', {'Total Match': 2140, 'Recall': 0.214, 'Search Time': 0.33104199999999834, 'Given n*k': 10000, 'Found n*k': 10000, 'unique neighbors': 10000, 'issue': False, 'Total Indexing Count': 21.21496})
('bigann11', {'Total Match': 1519, 'Recall': 0.1519, 'Search Time': 0.16860600000000028, 'Given n*k': 10000, 'Found n*k': 10000, 'unique neighbors': 10000, 'issue': False, 'Total Indexing Count': 22.833011})
('bigann2', {'Total Match': 3868, 'Recall': 0.3868, 'Search Time': 0.8144830000000003, 'Given n*k': 10000, 'Found n*k': 10000, 'unique neighbors': 10000, 'issue': False, 'Total Indexing Count': 17.417103})
('bigann3', {'Total Match': 5157, 'Recall': 0.5157, 'Search Time': 1.5401249999999935, 'Given n*k': 10000, 'Found n*k': 10000, 'unique neighbors': 10000, 'issue': False, 'Total Indexing Count': 17.458308})
('bigann4', {'Total Match': 7608, 'Recall': 0.7608, 'Search Time': 4.346041000000012, 'Given n*k': 10000, 'Found n*k': 10000, 'unique neighbors': 10000, 'issue': False, 'Total Indexing Count': 15.283243})
('bigann5', {'Total Match': 9007, 'Recall': 0.9007, 'Search Time': 7.852262000000024, 'Given n*k': 10000, 'Found n*k': 10000, 'unique neighbors': 10000, 'issue': False, 'Total Indexing Count': 14.317764})
('bigann6', {'Total Match': 9110, 'Recall': 0.911, 'Search Time': 9.864936999999982, 'Given n*k': 10000, 'Found n*k': 10000, 'unique neighbors': 10000, 'issue': False, 'Total Indexing Count': 17.164951})
('bigann7', {'Total Match': 9110, 'Recall': 0.911, 'Search Time': 9.632728999999992, 'Given n*k': 10000, 'Found n*k': 10000, 'unique neighbors': 10000, 'issue': False, 'Total Indexing Count': 18.315091})
